Місце	Пілот	Команда	Перемоги	Очки	Поули	Найкращі кола
1	Макс Ферстаппен	Red Bull Racing	19	542	9	7
2	Шарль Леклер	Ferrari	8	460	11	5
3	Серхіо Перес	Red Bull Racing	4	359	1	1
4	Карлос Сайнс	Ferrari	1	284	1	1
5	Джордж Рассел	Mercedes	1	277	0	0
6	Льюїс Хемільтон	Mercedes	0	249	1	2
7	Ландо Норріс	McLaren	0	154	0	0
8	Естебан Окон	Alpine	0	116	0	0
9	Фернандо Алонсо	Alpine	0	103	0	0
10	Валттері Боттас	Alfa Romeo	0	89	0	0
11	Льюїс Хемільтон	Mercedes	0	87	0	0
12	Ландо Норріс	McLaren	0	82	0	0
13	Валттері Боттас	Alfa Romeo	0	74	0	0
14	Естебан Окон	Alpine	0	70	0	0
15	П'єр Гаслі	AlphaTauri	0	56	0	0
16	Юкі Цунода	AlphaTauri	0	34	0	0
17	Себастьян Феттель	Aston Martin	0	34	0	0
18	Ланс Стролл	Aston Martin	0	28	0	0
19	Гуань Юй Чжоу	Alfa Romeo	0	26	0	0
20	Алекс Албон	Williams	0	14	0	0
